WOJ;IMIĘ_PIERWSZE;LICZBA_WYSTĄPIEŃ
08;MATEUSZ;11
08;DAVID;10
08;KONSTANTY;10
08;MAKSYM;10
08;EMIL;9
08;KRYSTIAN;9
08;GRZEGORZ;9
08;DAMIAN;9
08;JÓZEF;9
08;STEFAN;8
08;BARTŁOMIEJ;8
08;BRAJAN;8
08;ADRIAN;8
08;KAMIL;8
08;KORDIAN;8
08;ERYK;8
08;DAMIR;8
08;NATANIEL;8
08;OLEKSANDR;7
08;SAMUEL;7
08;FELIKS;7
08;ARTUR;7
08;MARCIN;7
08;BOGDAN;7
08;GRACJAN;7
08;ARTEM;6
08;TOBIASZ;6
08;BŁAŻEJ;6
08;LIAM;6
08;JULIUSZ;6
08;ŁUKASZ;6
08;ALEKSY;6
08;RAFAŁ;6
08;JERZY;5
08;MAREK;5
08;MYKHAILO;5
08;GUSTAW;5
08;ROMAN;5
08;ANDRZEJ;5
08;ROBERT;5
08;VIKTOR;5
08;MAKS;5
08;WINCENTY;5
08;FLORIAN;5
08;LEONARD;5
08;ALEKS;5
08;KEVIN;5
08;YAROSLAV;5
08;RYSZARD;5
08;ALBERT;5
08;DENIS;4
08;LUCJAN;4
08;MAKAR;4
08;DMYTRO;4
08;ARON;4
08;CYPRIAN;4
08;JĘDRZEJ;4
08;NIKITA;4
08;KASPIAN;4
08;IWO;4
08;NIKOLAS;4
08;VLADYSLAV;3
08;HENRY;3
08;JONATAN;3
08;JEREMI;3
08;MATVII;3
08;ZACHAR;3
08;MARKO;3
08;RADOSŁAW;3
08;KASJAN;3
08;NAZAR;3
08;REMIGIUSZ;3
08;THEO;3
08;KIRILL;3
08;FELIX;3
08;KEWIN;3
08;HUGO;3
08;MAURYCY;3
08;STANISLAW;3
08;TYTUS;3
08;PRZEMYSŁAW;3
08;DORIAN;3
08;BENJAMIN;3
08;KSAWIER;3
08;OLIVER;3
08;ALEK;3
08;ANTONIO;2
08;NICO;2
08;PLATON;2
08;VLADISLAV;2
08;GLEB;2
08;MAKARII;2
08;MAXYM;2
08;ARIEL;2
08;GNIEWOMIR;2
08;VINCENT;2
08;WALENTY;2
08;MAGNUS;2
08;WIT;2
08;EMILIAN;2
08;MIRON;2
08;EMIR;2
08;ALEXANDER;2
08;TIMUR;2
08;DANIIL;2
08;ERNEST;2
08;ANTON;2
08;BOLESŁAW;2
08;JAROSLAV;2
08;MAKARY;2
08;MYROSLAV;2
08;DAVYD;2
08;FELICJAN;2
08;GNIEWKO;2
08;THEODOR;2
08;OLIWER;2
08;DARIUSZ;2
08;XAVIER;2
08;MIROSLAV;2
08;ANDREI;2
08;YURII;2
08;MARIUSZ;2
08;AURELIUSZ;2
08;ANDRII;2
08;JAKOB;2
08;NORBERT;2
08;MAX;2
08;KONRAD;2
08;MYKOLA;2
08;LUIS;2
08;VALENTINO;2
08;JAMES;2
08;NOAH;2
08;BENIAMIN;2
08;WINCENT;2
10;NIKODEM;440
10;ALEKSANDER;426
10;JAN;377
10;ANTONI;356
10;FRANCISZEK;318
10;LEON;277
10;IGNACY;270
10;JAKUB;260
10;STANISŁAW;250
10;MIKOŁAJ;234
10;FILIP;231
10;SZYMON;214
10;WOJCIECH;205
10;TYMON;181
10;ADAM;179
10;MARCEL;169
10;OLIWIER;161
10;MAKSYMILIAN;161
10;KACPER;153
10;WIKTOR;145
10;JULIAN;135
10;IGOR;132
10;OSKAR;124
10;MIŁOSZ;120
10;TYMOTEUSZ;98
10;MICHAŁ;92
10;PIOTR;89
10;GABRIEL;84
10;NATAN;83
10;DAWID;72
10;BRUNO;67
10;FABIAN;65
10;MILAN;60
10;MATEUSZ;57
10;KRZYSZTOF;55
10;ALAN;54
10;TADEUSZ;53
10;BARTOSZ;52
10;CEZARY;50
10;WITOLD;49
10;KSAWERY;47
10;HUBERT;45
10;ARTUR;43
10;DANIEL;40
10;DOMINIK;40
10;BARTŁOMIEJ;39
10;TEODOR;39
10;KAROL;37
10;HENRYK;37
10;KAZIMIERZ;37
10;LEO;34
10;KORNEL;34
10;KUBA;33
10;MACIEJ;33
10;JÓZEF;31
10;TOMASZ;30
10;KONSTANTY;30
10;PAWEŁ;29
10;BORYS;29
10;MARK;28
10;KAJETAN;27
10;ADRIAN;26
10;DAVID;25
10;STEFAN;25
10;ERYK;25
10;GRZEGORZ;24
10;PATRYK;24
10;MIESZKO;23
10;MAKSYM;22
10;REMIGIUSZ;22
10;KRYSTIAN;21
10;GUSTAW;21
10;LEONARD;20
10;KAMIL;20
10;JERZY;20
10;OLAF;20
10;PRZEMYSŁAW;19
10;ARTEM;19
10;KORDIAN;19
10;EMIL;19
10;BŁAŻEJ;18
10;TOBIASZ;18
10;LUCJAN;17
10;JULIUSZ;16
10;MATVII;16
10;MARCIN;15
10;ALEX;14
10;OLEKSANDR;14
10;FLORIAN;14
10;SEBASTIAN;13
10;LIAM;13
10;TYMOFII;13
10;FELIKS;12
10;DAMIAN;12
10;IWO;12
10;DAVYD;11
10;ANDRII;11
10;BOHDAN;11
10;ALEXANDER;11
10;RAFAŁ;11
10;OLIVIER;11
10;RYSZARD;11
10;ŁUKASZ;10
10;ALEKS;10
10;DANYLO;10
10;BRAJAN;10
10;OLGIERD;10
10;MAURYCY;9
10;BENIAMIN;9
10;VLADYSLAV;9
10;WINCENTY;9
10;MAREK;9
10;EDWARD;8
10;ROBERT;8
10;GRACJAN;8
10;DORIAN;8
10;NATANIEL;8
10;MAX;7
10;OLIVER;7
10;ROMAN;7
10;TIMUR;7
10;MAKAR;6
10;JĘDRZEJ;6
10;TYTUS;6
10;MYKHAILO;6
10;ARON;6
10;OKTAWIAN;6
10;ANDRZEJ;6
10;NIKITA;6
10;CYPRIAN;6
10;YAROSLAV;5
10;ARKADIUSZ;5
10;NOE;5
10;AMADEUSZ;5
10;DARIUSZ;5
10;LUDWIK;5
10;SEWERYN;5
10;LEV;5
10;HUGO;5
10;ALEKSY;5
10;ZAKHAR;5
10;MAKS;5
10;WINCENT;5
10;BOGDAN;4
10;TEO;4
10;DANYIL;4
10;DMYTRO;4
10;NIKOLAS;4
10;JOACHIM;4
10;NAZAR;4
10;VINCENT;4
10;SAMUEL;4
10;IVAN;4
10;LESZEK;4
10;RADOSŁAW;4
10;SVIATOSLAV;4
10;JEREMIASZ;4
10;ANTONIO;4
10;ALBERT;4
10;JEREMI;4
10;ZBIGNIEW;4
10;MIRON;4
10;BERNARD;4
10;NIKO;4
10;KONRAD;4
10;OLEK;3
10;DENIS;3
10;YEHOR;3
10;VIKTOR;3
10;NOAH;3
10;MARCELI;3
10;KOSMA;3
10;VOLODYMYR;3
10;AUGUSTYN;3
10;NICOLAS;3
10;MICHAEL;3
10;GNIEWKO;3
10;GNIEWOSZ;3
10;FRYDERYK;3
10;DAMIR;3
10;ZACHARY;3
10;KONSTANTYN;3
10;KAI;3
10;ELIASZ;3
10;JAROSŁAW;3
10;DENYS;3
10;NORBERT;3
10;BOLESŁAW;3
10;WŁADYSŁAW;3
10;DANIIL;3
10;SZCZEPAN;3
10;LEONARDO;3
10;OSCAR;3
10;MARTIN;2
10;MIROSŁAW;2
10;ANTHONY;2
10;LUKA;2
10;MARKO;2
10;STANISLAV;2
10;VADYM;2
10;MARIAN;2
10;BOGUMIŁ;2
10;FELIX;2
10;ARSEN;2
10;DEMIAN;2
10;CONSTANTINE;2
10;CHRISTOPHER;2
10;NAZARII;2
10;ERNEST;2
10;WIT;2
10;WŁODZIMIERZ;2
10;RUSLAN;2
10;IVAR;2
10;OSTAP;2
10;ALOJZY;2
10;EDMUND;2
10;NOEL;2
10;HORDII;2
10;LUIS;2
10;EDWIN;2
10;ETHAN;2
10;BENJAMIN;2
10;RAFAEL;2
10;ILLIA;2
10;MAXIMILIAN;2
10;ROSTYSLAV;2
10;LUKIAN;2
10;DANTE;2
10;ROCH;2
10;IWAN;2
10;IVO;2
10;EMILIAN;2
10;LUCJUSZ;2
10;KRISTIAN;2
10;GIORGI;2
10;AMIN;2
10;TIKHON;2
10;LEOPOLD;2
10;KASPER;2
10;MYRON;2
10;KASJAN;2
10;FELICJAN;2
12;NIKODEM;684
12;JAN;593
12;ANTONI;590
12;ALEKSANDER;587
12;FRANCISZEK;557
12;JAKUB;551
12;MIKOŁAJ;463
12;LEON;457
12;ADAM;399
12;SZYMON;398
12;FILIP;391
12;IGNACY;347
12;STANISŁAW;345
12;MAKSYMILIAN;342
12;TYMON;332
12;KACPER;330
12;WOJCIECH;324
12;OLIWIER;304
12;MICHAŁ;287
12;WIKTOR;257
12;MARCEL;250
12;IGOR;216
12;MIŁOSZ;212
12;TYMOTEUSZ;193
12;OSKAR;193
12;HUBERT;180
12;JULIAN;175
12;GABRIEL;173
12;KAROL;162
12;PIOTR;156
12;DAWID;133
12;DOMINIK;130
12;BRUNO;127
12;HENRYK;120
12;KRZYSZTOF;114
12;BARTŁOMIEJ;110
12;TADEUSZ;101
12;MACIEJ;100
12;TOMASZ;100
12;ARTUR;92
12;BARTOSZ;90
12;CEZARY;88
12;FABIAN;88
12;ALAN;88
12;KAMIL;88
12;KSAWERY;79
12;MATEUSZ;76
12;EMIL;72
12;TEODOR;71
12;PATRYK;68
12;ERYK;63
12;NATAN;62
12;JÓZEF;62
12;DANIEL;62
12;PAWEŁ;58
12;MILAN;55
12;LEO;54
12;STEFAN;54
12;ADRIAN;53
12;LEONARD;52
12;KUBA;45
12;KRYSTIAN;44
12;SEBASTIAN;43
12;GRZEGORZ;42
12;KAJETAN;39
12;FELIKS;39
12;KAZIMIERZ;38
12;DAMIAN;38
12;KORNEL;36
12;WITOLD;36
12;TOBIASZ;35
12;MARCIN;34
12;MARK;34
12;MIESZKO;33
12;ALEXANDER;31
12;OLAF;31
12;ROBERT;30
12;KONRAD;29
12;RAFAŁ;29
12;RADOSŁAW;28
12;GUSTAW;28
12;PRZEMYSŁAW;28
12;JERZY;28
12;BŁAŻEJ;27
12;FLORIAN;26
12;BORYS;26
12;MAKSYM;26
12;ANDRZEJ;26
12;REMIGIUSZ;25
12;ŁUKASZ;25
12;SAMUEL;24
12;NATANIEL;22
12;ALEKS;22
12;KONSTANTY;22
12;KLEMENS;21
12;JULIUSZ;21
12;RYSZARD;19
12;ALEX;19
12;BENIAMIN;19
12;ALBERT;18
12;OLIVIER;18
12;ARTEM;18
12;DAVID;18
12;IWO;17
12;EDWARD;17
12;OLIVER;17
12;ROMAN;16
12;LIAM;16
12;JEREMI;16
12;ARKADIUSZ;15
12;SEWERYN;14
12;ERNEST;14
12;MAREK;14
12;MAKS;13
12;MATVII;13
12;HUGO;13
12;ALEKSY;13
12;SZCZEPAN;13
12;LUDWIK;12
12;JEREMIASZ;12
12;OLEKSANDR;12
12;JOACHIM;11
12;LEONARDO;11
12;DAMIR;11
12;WINCENTY;10
12;ARON;9
12;BERNARD;9
12;JACEK;9
12;MIRON;9
12;MARKO;9
12;BOGDAN;9
12;NORBERT;9
12;MAURYCY;8
12;MAXIMILIAN;8
12;CYPRIAN;7
12;MAX;7
12;GRACJAN;7
12;DANYLO;7
12;TEO;7
12;TYMOFII;7
