id,Prov,trade good ,latent trade good,tax,prod,manpower,terrain,Center of Trade,Local Airport,Airport,Border Crossing,Mountain Pass,Isthmus,River Tributary,River Estruary
30,Gorowo Ilackie,Lumber,0,1,1,1,Farmlands,,,,,,,,
31,Sepopol,Wheat,0,1,1,1,Farmlands,,,,,,,,
32,Bartoszyce,Lumber,0,2,1,1,Farmlands,,,,,,,,
33,Braniewo,Lumber,0,1,1,1,Farmlands,,,,,,,,
34,City of Gorowo Ilackie,Lumber,0,1,1,1,Forest,,,,,,,,
35,Ilawa,Poultry,0,2,1,2,Marsh,,,,,,,,
36,City of Nowe Miasto Lubawskie,Naval supplies,0,1,2,1,Grasslands,,,,,,,,
37,City of Sierpc,Beer,0,2,3,3,Farmlands,,,,,,,,
38,City of Raciaz,Dairy,0,1,1,1,Grasslands,,,,,,,,
39,Goldingen,Metalworking,0,2,1,2,Woods,,,,,,,,
40,Osiek,Fish,0,1,1,1,Grasslands,,,,,,,,
41,City of Rypin,0,0,2,3,2,Grasslands,,,,,,,,
42,Gardeja,Livestock,0,1,1,1,Farmlands,,,,,,,,
43,Gdansk - Srodmiescie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
44,Jezewo,Confectionery,0,1,1,1,Forest,,,,,,,,
45,Lanieta,Grain,0,1,1,1,Farmlands,,,,,,,,
46,Pawlowiczki,Livestock,0,1,1,1,Grasslands,,,,,,,,
47,Stralsund,Vegetables,0,1,1,1,Farmlands,,,,,,,,
48,City of Kolobrzeg,Amber,0,9,8,8,Urban,,,,,,,,
49,Dragacz,0,0,1,1,1,Grasslands,,,,,,,,
50,Rydultowy,0,0,3,3,3,Hills,,,,,,,,
51,Raciborz,0,0,8,10,9,Urban,,,,,,,,
52,Biala,Grain,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
53,Baruchowo,Grain,Processed Food,1,1,1,Woods,,,,,,,,
54,Osiek Maly,0,0,1,1,1,Farmlands,,,,,,,,
55,Swiecie,Paper,0,6,7,6,Urban,,,,,,,,
56,Kowal,0,0,1,1,1,Grasslands,,,,,,,,
57,Klodawa,0,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
58,Krzyzanowice,0,0,1,1,2,Farmlands,,,,,,,,
59,Pawlowice,Coal,0,3,7,3,Farmlands,,,,,,,,
60,Krapkowice,Paper,0,3,6,4,Grasslands,,,,,,,,
61,Cisek,Grain,0,1,1,1,Farmlands,,,,,,,,
62,Gorzyce,0,0,#N/A,#N/A,#N/A,Hills,,,,,,,,
63,Kolo,0,0,1,1,1,Farmlands,,,,,,,,
64,Ustron,Tourists,0,3,3,3,Forest,,,,,,,,
65,Lisewo,0,0,1,1,1,Farmlands,,,,,,,,
66,Koscielec,0,0,1,1,1,Grasslands,,,,,,,,
67,Jastrebie-Zdroj,Coal,0,#N/A,#N/A,#N/A,Urban,,,,,,,,
68,Strzelno,0,0,1,1,2,Farmlands,,,,,,,,
69,Bobrowniki,Lumber,0,2,1,2,Forest,,,,,,,,
70,Dabrowa Chelminska,0,0,1,1,1,Forest,,,,,,,,
71,Krzymow,0,0,1,1,1,Grasslands,,,,,,,,
73,Stolno,Confectionery,0,1,1,1,Farmlands,,,,,,,,
74,Lubicz,0,0,3,2,4,Farmlands,,,,,,,,
75,Barcin,0,0,2,2,2,Farmlands,,,,,,,,
76,Goleszow,0,0,2,1,2,Hills,,,,,,,,
77,Dobre,0,0,1,1,1,Farmlands,,,,,,,,
78,Sompolo,0,0,1,1,1,Farmlands,,,,,,,,
79,Bukowiec,0,0,1,1,1,Farmlands,,,,,,,,
80,City of Chelmza,0,0,2,1,2,Farmlands,,,,,,,,
81,Chocen,0,0,1,1,1,Farmlands,,,,,,,,
82,Izbica Kujawska,0,0,1,1,1,Farmlands,,,,,,,,
83,City of Lipno,Vegetables,0,2,2,2,Farmlands,,,,,,,,
84,Lipno,Grain,0,2,1,2,Farmlands,,,,,,,,
85,Koln,0,0,1,1,1,Farmlands,,,,,,,,
86,City of Kowal,0,0,1,1,1,Grasslands,,,,,,,,
87,Starograd Gdanski,0,0,2,2,3,Grasslands,,,,,,,,
88,Skarszewy,0,0,2,1,2,Grasslands,,,,,,,,
89,Zblewo,0,0,2,1,2,Grasslands,,,,,,,,
90,Wilczyn,0,0,1,1,1,Farmlands,,,,,,,,
91,Kwidzyn,Stone,0,1,1,2,Grasslands,,,,,,,,
92,Piotrkow Kujawski,0,0,1,1,1,Farmlands,,,,,,,,
93,Kijewo Krolewskie,0,0,1,1,1,Farmlands,,,,,,,,
94,Lysomice,0,0,2,2,2,Farmlands,,,,,,,,
95,Osieciny,0,0,1,1,1,Farmlands,,,,,,,,
96,Radziejow,0,0,1,1,1,Farmlands,,,,,,,,
97,Byton,0,0,1,1,1,Farmlands,,,,,,,,
98,Lubraniec,0,0,1,1,1,Farmlands,,,,,,,,
99,Slesin,0,0,2,1,2,Farmlands,,,,,,,,
100,Topolko,0,0,1,1,1,Farmlands,,,,,,,,
101,Debno,0,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
102,Pyrzyce,0,0,2,1,3,Farmlands,,,,,,,,
103,Warnice,0,0,1,1,1,Farmlands,,,,,,,,
104,Mieszkowice,0,0,1,1,1,Forest,,,,,,,,
105,Nowogrodek Pomorski,0,0,1,1,1,Forest,,,,,,,,
107,Widuchowa,0,0,1,1,1,Woods,,,,,,,,
108,Czarnkow,Lumber,0,1,1,2,Grasslands,,,,,,,,
109,Kozielice,Grain,0,1,1,1,Farmlands,,,,,,,,
110,Wielgie,Grain,0,1,1,1,Grasslands,,,,,,,,
111,Gryfino,0,0,5,6,5,Urban,,,,,,,,
112,Kalisz Pomorski,0,0,1,1,1,Forest,,,,,,,,
113,Dobrzany,0,0,1,1,1,Woods,,,,,,,,
114,Stara Dlbrowa,0,0,1,1,1,Farmlands,,,,,,,,
115,Kobylanka,0,0,1,1,1,Forest,,,,,,,,
116,Dobra Szczecinska,0,0,5,4,5,#N/A,,,,,,,,
117,Police,0,0,6,1,7,Urban,,,,,,,,
118,Miedzychod,0,0,3,2,3,Forest,,,,,,,,
119,Drawsko,Mushrooms,0,1,1,1,Forest,,,,,,,,
120,Zwierzyn,Dairy,0,1,1,1,Floodplains,,,,,,,,
121,Wiecbork,0,0,2,1,2,Woods,,,,,,,,
122,Krzecin,0,0,1,1,1,Farmlands,,,,,,,,
123,Stare Kurowo,Apiculture,0,1,1,1,Grasslands,,,,,,,,
124,Strzelce Krajenskie,Grain,0,2,2,3,Farmlands,,,,,,,,
125,Drezdenko,Iron,0,2,2,3,Grasslands,,,,,,,,
126,Wielen,Iron,0,2,1,2,Forest,,,,,,,,
127,City of Wagrowiec,0,0,4,5,4,Farmlands,,,,,,,,
128,Lyski,0,0,1,1,1,Woods,,,,,,,,
129,Gaszowice,0,0,1,1,1,Hills,,,,,,,,
130,Jejkowice,0,0,1,1,1,Hills,,,,,,,,
131,Mszana,0,0,1,1,1,Hills,,,,,,,,
132,Tarnow Opolski,Stone,0,1,1,1,Woods,,,,,,,,
133,Pszow,0,0,1,1,2,Hills,,,,,,,,
134,Kuznia Raciborska,Iron,0,1,1,2,Grasslands,,,,,,,,
135,Chybie,Grain,0,1,1,1,Hills,,,,,,,,
136,Brzeszcze,Coal,0,3,2,3,Woods,,,,,,,,
137,Miedzna,Grain,0,#N/A,#N/A,#N/A,Hills,,,,,,,,
138,Gliwice,0,0,45,54,32,High Urban,,,,,,,,
139,Pszczyna,Tourists,0,8,8,9,Urban,,,,,,,,
140,Tychy,Beer,0,27,33,23,Urban,,,,,,,,
141,Wozniki,0,0,1,1,1,Woods,,,,,,,,
142,Turawa,Tourists,0,1,1,1,Forest,,,,,,,,
143,Lubniany,Stone,0,1,1,1,Woods,,,,,,,,
144,Kolonowskie,Livestock,0,1,1,1,Farmlands,,,,,,,,
145,Lasowice Wielkie,Stone,0,1,1,1,Woods,,,,,,,,
146,Kochanowice,0,0,1,1,1,Forest,,,,,,,,
147,Murow,Dairy,0,1,1,1,Forest,,,,,,,,
148,Krupski Mlyn,0,0,1,1,1,Forest,,,,,,,,
149,Wielkowies,0,0,1,1,1,Farmlands,,,,,,,,
150,Rudziniec,0,0,1,1,2,Woods,,,,,,,,
151,Domaszowice,Fruits,0,1,1,1,Woods,,,,,,,,
152,Goczalkowice-Zdroj,Tourists,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
154,Myslowice,Coal,0,15,12,13,Urban,,,,,,,,
155,Pabianice,Wool,0,1,1,1,Farmlands,,,,,,,,
156,Zabrze,Coal,0,31,25,29,High Urban,,,,,,,,
157,CZeladz,0,0,5,4,5,Urban,,,,,,,,
158,Starcza,0,0,1,1,1,Hills,,,,,,,,
159,Miasteczko Slaskie,0,0,1,1,1,Forest,,,,,,,,
160,Piekary Slaskie,0,0,9,6,9,Urban,,,,,,,,
161,Wojkowice,0,0,1,1,1,Hills,,,,,,,,
162,Knurow,0,0,6,7,6,Urban,,,,,,,,
163,Przystajn,0,0,1,1,1,Woods,,,,,,,,
164,Panki,0,0,1,1,1,Woods,,,,,,,,
165,City of Aleksnadrow Kujawski,Iron,0,2,2,2,Farmlands,,,,,,,,
166,Obrowo,0,0,3,1,3,Woods,,,,,,,,
167,Konarzyny,Grain,0,1,1,1,Forest,,,,,,,,
168,Chojnice,0,0,3,2,3,Woods,,,,,,,,
169,Debrzno,0,0,1,1,1,Farmlands,,,,,,,,
170,Zakrzewo,0,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
171,Lipka,0,0,1,1,1,Woods,,,,,,,,
172,Czluchow,0,0,2,1,2,Woods,,,,,,,,
173,Damaslawek,0,0,1,1,1,Farmlands,,,,,,,,
174,Kesowo,0,0,1,1,1,Farmlands,,,,,,,,
175,Studzienice,0,0,1,1,1,Forest,,,,,,,,
176,Szubin,0,0,4,3,4,Woods,,,,,,,,
177,Sosno,0,0,1,1,1,Farmlands,,,,,,,,
178,Mrocza,0,0,1,1,1,Farmlands,,,,,,,,
179,Liniewo,Grain,0,1,1,1,Grasslands,,,,,,,,
180,Karsin,Lumber,0,1,1,1,Forest,,,,,,,,
181,Sliwice,Mushrooms,0,1,1,1,Forest,,,,,,,,
182,Cekcyn,0,0,1,1,1,Forest,,,,,,,,
183,City of Starograd Gdanski,0,0,7,9,8,Urban,,,,,,,,
184,Kaliska,0,0,1,1,1,Forest,,,,,,,,
185,Tuchola,0,0,3,3,3,Forest,,,,,,,,
186,Lubiewo,0,0,1,1,1,Forest,,,,,,,,
187,Biale Blota,0,0,4,5,4,Marsh,,,,,,,,
188,Znin,0,0,3,3,4,Farmlands,,,,,,,,
189,Labiszyn,0,0,1,1,1,Woods,,,,,,,,
190,Nowa Karczma,Livestock,0,1,1,1,Grasslands,,,,,,,,
191,Gostycyn,Confectionery,0,1,1,1,Woods,,,,,,,,
192,Miescisko,0,0,1,1,1,Farmlands,,,,,,,,
193,Janowiec Wielkopolski,0,0,1,1,1,Farmlands,,,,,,,,
194,Suleczyno,0,0,1,1,1,Woods,,,,,,,,
195,Chmielno,0,0,1,1,1,Grasslands,,,,,,,,
196,Czersk,0,0,3,2,4,Forest,,,,,,,,
197,Choszczno,0,0,3,2,3,Farmlands,,,,,,,,
198,Zukowo,Paper,0,8,7,9,Urban,,,,,,,,
199,Przywidz,0,0,1,1,1,Forest,,,,,,,,
200,Skoki,0,0,1,1,1,Woods,,,,,,,,
201,Zlotniki Kujawskie,0,0,1,1,1,Farmlands,,,,,,,,
202,Dobrcz,0,0,2,1,2,Farmlands,,,,,,,,
203,Lubichowo,0,0,1,1,1,Forest,,,,,,,,
204,Pruszcz,0,0,1,1,1,Farmlands,,,,,,,,
205,Inowroclaw,0,0,2,1,2,Farmlands,,,,,,,,
206,Krasne,0,0,1,1,2,Grasslands,,,,,,,,
207,Maszewo,0,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
208,Nowogard,Stone,0,3,3,4,Grasslands,,,,,,,,
209,Brzezno,Grain,0,1,1,1,Grasslands,,,,,,,,
210,City of Zlotow,0,0,2,10,3,Grasslands,,,,,,,,
211,City of Chodzez,Ceramics,0,2,2,3,Grasslands,,,,,,,,
212,Wyrzysk,0,0,2,1,2,Farmlands,,,,,,,,
213,Margonin,Lumber,0,1,1,1,Woods,,,,,,,,
214,Chodziez,Fish,0,1,1,1,Grasslands,,,,,,,,
215,Czaplinek,0,0,1,1,2,Forest,,,,,,,,
216,Gryfice,0,0,3,3,4,Grasslands,,,,,,,,
217,Czarne,0,0,1,1,1,Forest,,,,,,,,
218,Ryman,0,0,1,1,1,Woods,,,,,,,,
219,Wegorzyno,0,0,1,1,1,Grasslands,,,,,,,,
220,Kaczory,0,0,1,1,1,Grasslands,,,,,,,,
221,Skrzydlowo,0,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
222,Czlopa,Tourists,0,1,1,1,Forest,,,,,,,,
223,City of Walcz,Iron,0,3,3,4,Forest,,,,,,,,
224,Radowo Male,0,0,1,1,1,Grasslands,,,,,,,,
225,Jastrowie,0,0,1,1,2,Forest,,,,,,,,
226,Miroslawiec,Wine,0,1,1,1,Forest,,,,,,,,
227,Nowe Warpno,Grain,0,1,1,1,Woods,,,,,,,,
228,Miedzyzdroje,0,0,2,1,1,Forest,,,,,,,,
229,Goleniow,Lumber,0,7,9,6,Urban,,,,,,,,
230,Osina,Grain,0,1,1,1,Woods,,,,,,,,
231,Dziwnow,0,0,1,1,1,Woods,,,,,,,,
232,Swierzno,0,0,1,1,1,Woods,,,,,,,,
233,Polczyn-Zdroj,Beer,0,2,1,2,Woods,,,,,,,,
234,Grzmiaca,0,0,1,1,1,Woods,,,,,,,,
235,Bedzino,0,0,1,1,1,Farmlands,,,,,,,,
236,Bialogard,Grain,0,1,1,1,Grasslands,,,,,,,,
237,City of Bialogard,Lumber,0,3,3,4,Grasslands,,,,,,,,
238,Swieszyno,0,0,1,1,1,Woods,,,,,,,,
239,Ustronie Morskie,Tourists,0,1,1,1,Woods,,,,,,,,
240,Karlino,Chemicals,0,2,1,1,Farmlands,,,,,,,,
241,Goscino,0,0,1,1,1,Grasslands,,,,,,,,
242,Przechlewo,0,0,1,1,1,Forest,,,,,,,,
243,Manowo,0,0,1,1,1,Forest,,,,,,,,
244,Koczala,0,0,1,1,1,Forest,,,,,,,,
245,Bialy Bor,Fruits,0,1,1,1,Forest,,,,,,,,
246,Polanow,0,0,1,1,1,Forest,,,,,,,,
247,Postomino,0,0,1,1,1,Grasslands,,,,,,,,
248,Przodkowo,0,0,2,1,2,Grasslands,,,,,,,,
249,Ustka,Tourists,0,1,3,1,Forest,,,,,,,,
250,Lina,0,0,1,1,1,Woods,,,,,,,,
251,Luzino,Lumber,0,3,1,3,Forest,,,,,,,,
252,Nowa Wies Leborska,Lumber,0,2,1,2,Woods,,,,,,,,
253,Lebork,Iron,0,6,6,6,Urban,,,,,,,,
254,Rogozno,Livestock,0,2,2,3,Woods,,,,,,,,
255,Golub-Dobrzyn,Livestock,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
256,Jablonowo Pomorskie,Dairy,0,1,1,1,Farmlands,,,,,,,,
257,Srodmiescie,0,0,#N/A,#N/A,#N/A,Urban,,,,,,,,
258,Debowa Laka,Grain,0,1,1,1,Grasslands,,,,,,,,
259,Ciechocin,Grain,0,1,1,1,Woods,,,,,,,,
260,Chrostkowo,Stone,0,1,1,1,Farmlands,,,,,,,,
261,Swiedziebnia,Confectionery,0,1,1,1,Farmlands,,,,,,,,
262,Krakow,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
263,Kowalewo Pomorskie,Vegetables,0,1,2,2,Farmlands,,,,,,,,
264,Rynsk,Mushrooms,0,1,1,1,Woods,,,,,,,,
265,Bielsko-Biala,Iron,0,#N/A,#N/A,#N/A,High Urban,,,,,,,,
266,Lodygowice,0,0,2,1,2,Hills,,,,,,,,
267,Szczyrk,0,0,1,1,1,Forest,,,,,,,,
268,Prostki,Pigs,0,1,1,1,Grasslands,,,,,,,,
269,Rogowo,0,0,1,1,1,Woods,,,,,,,,
270,Kurzetnik,Poultry,0,1,1,1,Grasslands,,,,,,,,
271,Samogitia,Poultry,0,1,1,1,Grasslands,,,,,,,,
272,Brudzen Duzy,0,0,1,1,1,Farmlands,,,,,,,,
273,Mlynary,Lumber,0,1,1,1,Forest,,,,,,,,
274,City of Idzbark Warminski,Dairy,0,2,2,2,Farmlands,,,,,,,,
275,Milejowo,Mushrooms,0,1,1,1,Forest,,,,,,,,
276,Zalewo,Lumber,0,1,1,1,Marsh,,,,,,,,
277,Zbiczno,Tourists,0,1,1,1,Forest,,,,,,,,
278,Rozogi,Ceramics,0,1,1,1,Grasslands,,,,,,,,
279,Mochowo,0,0,1,1,1,Grasslands,,,,,,,,
280,Nowy Dwor,Grain,0,1,1,1,Farmlands,,,,,,,,
281,City of Lubawa,Cloth,0,1,3,2,Floodplains,,,,,,,,
282,Rajgrod,Fish,0,1,1,1,Woods,,,,,,,,
283,Grabowo,Apiculture,0,1,1,1,Farmlands,,,,,,,,
284,Nadarzyn,0,0,4,4,3,Grasslands,,,,,,,,
285,Michalowice,0,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
286,Blonie,0,0,4,8,4,Farmlands,,,,,,,,
287,Zabia Wola,0,0,2,1,2,Grasslands,,,,,,,,
288,Kampinos,0,0,1,1,1,Grasslands,,,,,,,,
289,Chorzele,0,0,1,1,1,Forest,,,,,,,,
290,Lyse,0,0,1,1,1,Woods,,,,,,,,
291,Myszyniec,0,0,1,1,1,Grasslands,,,,,,,,
293,Swiatki,Wheat,0,1,1,1,Grasslands,,,,,,,,
294,Kolno,Wheat,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
295,Biskupiec,Paper,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
296,City of Suwalki,Iron,0,15,14,12,Urban,,,,,,,,
297,Jedwabno,Mushrooms,0,1,1,1,Forest,,,,,,,,
298,Kadzidlo,0,0,2,1,2,Forest,,,,,,,,
299,Zyrandow,0,0,7,5,7,Urban,,,,,,,,
300,Jeziorany,Pigs,0,1,1,1,Grasslands,,,,,,,,
301,Ruciane-Nida,Tourists,0,1,1,1,Floodplains,,,,,,,,
302,Radziejowice,0,0,1,1,1,Grasslands,,,,,,,,
303,Wolomin,0,0,8,6,9,Urban,,,,,,,,
304,Piaseczno,0,0,19,14,18,Urban,,,,,,,,
305,Giby,Fish,0,1,1,1,Forest,,,,,,,,
306,Wegorzowo,Tourists,0,#N/A,#N/A,#N/A,Floodplains,,,,,,,,
307,Mikolajki,Tourists,0,1,1,1,Floodplains,,,,,,,,
308,Ketrzyn,Oil,0,1,1,1,Farmlands,,,,,,,,
309,Gizycko,Metalworking,0,1,1,1,Grasslands,,,,,,,,
310,Idzbark Warminski,Lumber,0,1,1,1,Farmlands,,,,,,,,
311,Orneta,Stone,0,1,1,2,Farmlands,,,,,,,,
312,Orzysz,Metalworking,0,1,1,1,Forest,,,,,,,,
313,Srokowo,Triticale,0,1,1,1,Farmlands,,,,,,,,
314,Elk,Pigs,0,2,1,2,Farmlands,,,,,,,,
315,Puck,Amber,0,5,3,5,Coastline,,,,,,,,
316,Perzow,0,0,1,1,1,Farmlands,,,,,,,,
317,Rychtal,0,0,1,1,1,Woods,,,,,,,,
318,Kluczbork,Iron,0,5,5,6,Grasslands,,,,,,,,
319,Baranow,0,0,#N/A,#N/A,#N/A,Grasslands,,,,,,,,
320,Radlow,Vegetables,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
321,Lubochnia,0,0,1,1,1,Forest,,,,,,,,
322,Byczyna,Vegetables,0,1,1,1,Grasslands,,,,,,,,
323,Kepno,0,0,4,5,4,Grasslands,,,,,,,,
324,Patnow,0,0,1,1,1,Woods,,,,,,,,
325,Siemkowice,Livestock,0,1,1,1,Woods,,,,,,,,
326,Dzialoszyn,Vegetables,0,1,2,2,Grasslands,,,,,,,,
327,Mokrsko,0,0,1,1,1,Farmlands,,,,,,,,
328,Wielun,0,0,4,7,5,Urban,,,,,,,,
329,Galewice,0,0,1,1,1,Forest,,,,,,,,
330,Osjakow,0,0,1,1,1,Woods,,,,,,,,
331,Rychwal,0,0,1,1,1,Grasslands,,,,,,,,
332,Klonowa,0,0,1,1,1,Woods,,,,,,,,
333,Sadki,0,0,1,1,1,Grasslands,,,,,,,,
334,Rokiciny,0,0,1,1,1,Farmlands,,,,,,,,
335,Dalikow,0,0,1,1,1,Grasslands,,,,,,,,
336,City of Ozorkow,0,0,2,2,3,Grasslands,,,,,,,,
337,Ozorkow,0,0,1,1,1,Grasslands,,,,,,,,
338,Brojce,0,0,#N/A,#N/A,#N/A,Farmlands,,,,,,,,
339,Czarnocin,0,0,1,1,1,Farmlands,,,,,,,,
340,Ă‚Cmielow,0,0,1,1,1,Woods,,,,,,,,
341,Pawlow,0,0,2,1,2,Hills,,,,,,,,
342,Koluszki,Copper,0,4,3,4,Forest,,,,,,,,
343,Wodzierady,Grain,0,1,1,1,Grasslands,,,,,,,,
344,Zgierz,Wool,0,2,1,3,Grasslands,,,,,,,,
345,Glowno,Cloth,0,1,1,1,Woods,,,,,,,,
346,Jelcz-Laskowice,Iron,0,4,8,4,Grasslands,,,,,,,,
347,Wola Krzysztoporska,0,0,2,1,2,Grasslands,,,,,,,,
348,Druzbice,Grain,0,1,1,1,Farmlands,,,,,,,,
349,Ksawerow,Cloth,0,1,1,1,Grasslands,,,,,,,,
350,City of Tomaszow Mazowiecki,Wool,0,9,11,10,Urban,,,,,,,,
351,Tarlow,0,0,1,1,1,Farmlands,,,,,,,,
352,Ostrowiec-Swietokrzyski,Iron,0,8,10,11,Urban,,,,,,,,
353,Bodzentyn,0,0,1,1,2,Forest,,,,,,,,
354,Charsznica,Vegetables,0,1,1,1,Farmlands,,,,,,,,
355,Trzyciaz,Copper,0,1,1,1,Grasslands,,,,,,,,
356,Skala,Dairy,0,1,1,2,Hills,,,,,,,,
357,Golcza,Grain,0,1,1,1,Farmlands,,,,,,,,
358,Opatow,0,0,#N/A,#N/A,#N/A,Hills,,,,,,,,
359,Skrzydlow,0,0,1,1,1,Farmlands,,,,,,,,
360,Skalbmierz,0,0,1,1,1,Farmlands,,,,,,,,
361,Backowice,0,0,1,1,1,Farmlands,,,,,,,,
362,Gnojo,Grain,0,1,1,1,Farmlands,,,,,,,,
363,Ozarow,0,0,2,1,1,Farmlands,,,,,,,,
364,Ksiaz Wielki,Grain,0,1,1,1,Grasslands,,,,,,,,
365,Slomniki,Vegetables,0,2,1,2,Grasslands,,,,,,,,
366,Belchatow,Coal,0,2,1,2,Forest,,,,,,,,
367,Wolborz,0,0,1,1,1,Farmlands,,,,,,,,
368,Piotrkow Trybunalski,0,0,15,15,12,Urban,,,,,,,,
369,Gniewno,0,0,1,1,1,Forest,,,,,,,,
370,Smoldzino,0,0,1,1,1,Grasslands,,,,,,,,
371,Choczewo,0,0,1,1,1,Forest,,,,,,,,
372,Mielno,Tourists,0,1,1,1,Grasslands,,,,,,,,
373,Trzebielno,0,0,1,1,1,Forest,,,,,,,,
374,Kolobrzeg,Fish,0,2,1,2,Grasslands,,,,,,,,
375,Damnica,0,0,1,1,1,Woods,,,,,,,,
376,Kobylnica,0,0,2,2,2,Woods,,,,,,,,
377,Inwlodz,0,0,1,1,1,Forest,,,,,,,,
378,Stara Blotnica,0,0,1,1,1,Grasslands,,,,,,,,
379,Przysucha,0,0,1,1,2,Forest,,,,,,,,
380,Wieniawa,0,0,1,1,1,Grasslands,,,,,,,,
381,Gielniow,0,0,1,1,1,Forest,,,,,,,,
382,Poswietne,Lumber,0,1,1,1,Forest,,,,,,,,
383,Deblin,Iron,0,2,2,2,Hills,,,,,,,,
384,Kozienice,0,0,5,5,5,Forest,,,,,,,,
385,Zwolen,0,0,2,1,2,Farmlands,,,,,,,,
386,City of Pulawy,Chemicals,0,8,11,8,Urban,,,,,,,,
387,Skrzydlowiec,0,0,2,2,3,Woods,,,,,,,,
388,Chlewiska,0,0,1,1,1,Forest,,,,,,,,
389,Jastrzab,0,0,1,1,1,Grasslands,,,,,,,,
390,Mirow,0,0,1,1,1,Grasslands,,,,,,,,
391,Markuszow,Fruits,0,1,1,1,Farmlands,,,,,,,,
392,City of Pionki,0,0,2,2,3,Forest,,,,,,,,
393,Maciejowice,Vegetables,0,1,1,1,Woods,,,,,,,,
394,Garbatka-Letnisko,0,0,#N/A,#N/A,#N/A,Forest,,,,,,,,
395,Gniewoszow,0,0,1,1,1,Farmlands,,,,,,,,
396,Policzna,0,0,1,1,1,Farmlands,,,,,,,,
397,Kazimierz Dolny,Tourists,0,1,1,1,Floodplains,,,,,,,,
398,Wilkow,Beer,0,1,1,1,Farmlands,,,,,,,,
399,Poniatowa,Iron,0,2,1,2,Woods,,,,,,,,
400,Laziska,Mushrooms,0,1,1,1,Forest,,,,,,,,
401,Rzeczniow,0,0,1,1,1,Farmlands,,,,,,,,
402,Wachock,0,0,1,1,1,Forest,,,,,,,,
403,Opole Lubelskie,Dairy,0,2,1,3,Woods,,,,,,,,
404,Wawolnica,Tourists,0,1,1,1,Hills,,,,,,,,
405,Potworow,0,0,1,1,1,Grasslands,,,,,,,,
406,Warta,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,
407,Kalisz,0,0,22,23,17,Urban,,,,,,,,
408,City of Kutno,Iron,0,6,12,7,Urban,,,,,,,,
409,Daszyna,Stone,0,1,1,1,Farmlands,,,,,,,,
410,City of Leczyca,Iron,0,2,3,2,Grasslands,,,,,,,,
