id,Prov,trade good ,latent trade good,tax,prod,manpower,terrain,Center of Trade,Local Airport,Airport,Border Crossing,Mountain Pass,Isthmus,River Tributary,River Estruary,Satellite City,Training Area
33,Braniewo,Lumber,0,1,1,1,Farmlands, , , ,1, , , , ,,
34,City of Gorowo Ilackie,Lumber,0,1,1,1,Forest, , , , , , , , ,,
35,Ilawa,Poultry,0,2,1,2,Marsh, , , , , ,1, , ,,
36,City of Nowe Miasto Lubawskie,Naval supplies,0,1,2,1,Grasslands, , , , , , , , ,,
37,City of Sierpc,Beer,0,2,3,3,Farmlands,1, , , , , , , ,,
38,City of Raciaz,Dairy,0,1,1,1,Grasslands,1, , , , , , , ,,
39,Goldingen,Metalworking,0,2,1,2,Woods, , , , , , , , ,,
40,Osiek,Fish,0,1,1,1,Grasslands, , , , , , , , ,,
41,City of Rypin,0,0,2,3,2,Grasslands,2, , , , , , , ,,
42,Gardeja,Cattle,0,1,1,1,Farmlands, , , , , , , , ,,
43,Gdansk - Srodmiescie,Tourists, ,10,10,10,High Urban, , , , , , , , ,,
44,Jezewo,Confectionery,0,1,1,1,Forest, ,1, , , , , , ,,
45,Lanieta,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
46,Pawlowiczki,Poultry,0,1,1,1,Grasslands, , , , , , , , ,,
47,Stralsund,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
48,City of Kolobrzeg,Amber,0,9,8,8,Urban,2, , , , , ,1, ,,
49,Dragacz,0,0,1,1,1,Grasslands, , , , , , , , ,,
50,Rydultowy,0,0,3,3,3,Highlands, , , , , , , , ,,
51,Raciborz,0,0,8,10,9,Urban,1, , , , , , , ,,
52,Biala,Barley,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
53,Baruchowo,Wheat,Processed Food,1,1,1,Woods, , , , , , , , ,,
54,Osiek Maly,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
55,Swiecie,Paper,0,6,7,6,Urban,1, , , , , ,1, ,,
56,Kowal,0,0,1,1,1,Grasslands, , , , , , , , ,,
57,Klodawa,Salt,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
58,Krzyzanowice,0,0,1,1,2,Farmlands, , , ,1, , , , ,,
59,Pawlowice,Coal,0,3,7,3,Farmlands, , , , , , , , ,,
60,Krapkowice,Paper,0,3,6,4,Grasslands, , , , , , ,1, ,,
61,Cisek,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
62,Gorzyce,0,0,#N/A,#N/A,#N/A,Highlands, , , , , , , , ,,
63,Kolo,Dairy,0,1,1,1,Farmlands, , , , , , , , ,,
64,Ustron,Tourists,0,3,3,3,Forest, , , , , , , , ,,
65,Lisewo,0,0,1,1,1,Farmlands, , , , , , , , ,,
66,Koscielec,Paper,0,1,1,1,Grasslands, , , , , , , , ,,
67,Jastrebie-Zdroj,Vegetables,Processed Food,4,5,3,Urban, , , , , , , , ,,
68,Strzelno,0,0,1,1,2,Farmlands, , , , , , , , ,,
69,Bobrowniki,Lumber,0,2,1,2,Forest, , , , , , , , ,,
70,Dabrowa Chelminska,0,0,1,1,1,Forest, , , , , , , , ,,
71,Krzymow,0,0,1,1,1,Grasslands, , , , , , , , ,,
72,Torun Centrum,Tourists, ,7,7,5,Urban,3, , , , , , , ,,
73,Stolno,Confectionery,0,1,1,1,Farmlands, , , , , , , , ,,
74,Lubicz,Consumer Goods,0,3,2,4,Farmlands, , , , , , ,1, ,,
75,Barcin,0,0,2,2,2,Farmlands, , , , , , , , ,,
76,Goleszow,0,0,2,1,2,Highlands, , , , , , , , ,,
77,Dobre,0,0,1,1,1,Farmlands, , , , , , , , ,,
78,Sompolo,0,0,1,1,1,Farmlands, , , , , , , , ,,
79,Bukowiec,0,0,1,1,1,Farmlands, , , , , , , , ,,
80,City of Chelmza,Sugar,0,2,1,2,Urban,2, , , , , , , ,,
81,Chocen,0,0,1,1,1,Farmlands, , , , , , , , ,,
82,Izbica Kujawska,0,0,1,1,1,Farmlands, , , , , ,1, , ,,
83,City of Lipno,Vegetables,0,2,2,2,Farmlands, , , , , , , , ,,
84,Lipno,Wheat,0,2,1,2,Farmlands, , , , , , , , ,,
85,Koln,0,0,1,1,1,Farmlands, , , , , , , , ,,
86,City of Kowal,0,0,1,1,1,Grasslands, , , , , , , , ,,
87,Starograd Gdanski,Lumber,0,2,2,3,Woods, , , , , , , , ,,
88,Skarszewy,Metalworking,0,2,1,2,Grasslands, , , , , , , , ,,
89,Zblewo,Iron,0,2,1,2,Woods, , , , , , , , ,,
90,Wilczyn,0,0,1,1,1,Farmlands, , , , , , , , ,,
91,Kwidzyn,Stone,0,1,1,2,Grasslands, , , , , , , , ,,
92,Piotrkow Kujawski,0,0,1,1,1,Farmlands, , , , , , , , ,,
93,Kijewo Krolewskie,0,0,1,1,1,Farmlands, ,1, , , , , , ,,
94,Lysomice,Metalworking,0,2,2,2,Farmlands, , , , , , , , ,,
95,Osieciny,0,0,1,1,1,Farmlands, , , , , , , , ,,
96,Radziejow,0,0,1,1,1,Farmlands, , , , , , , , ,,
97,Byton,0,0,1,1,1,Farmlands, , , , , , , , ,,
98,Lubraniec,0,0,1,1,1,Farmlands, , , , , , , , ,,
99,Slesin,0,0,2,1,2,Farmlands, , , , , , , , ,,
100,Topolko,0,0,1,1,1,Farmlands, , , , , , , , ,,
101,Debno,Chemicals,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
102,Pyrzyce,Consumer Goods,0,2,1,3,Farmlands, , , , , , , , ,,
103,Warnice,Wheat,0,1,1,1,Farmlands, , , , , ,1, , ,,
104,Mieszkowice,Lumber,0,1,1,1,Forest, , , , , , , , ,,
105,Nowogrodek Pomorski,Wheat,Processed Food,1,1,1,Forest, , , , , , , , ,,
106,Lugowo,0, ,1,1,1,Grasslands, , , , , , , , ,,
107,Widuchowa,Wheat,0,1,1,1,Woods, , , , , , , , ,,
108,Czarnkow,Lumber,0,1,1,2,Grasslands, , , , , , , , ,,
109,Kozielice,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
110,Wielgie,Barley,0,1,1,1,Grasslands, , , , , , , , ,,
111,Gryfino,Tourists,0,5,6,5,Urban, , , , , , , , ,,
112,Kalisz Pomorski,Lumber,0,1,1,1,Forest, , , , , , , , ,,
113,Dobrzany,Wheat,0,1,1,1,Woods, , , , , , , , ,,
114,Stara Dlbrowa,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
115,Kobylanka,Wheat,0,1,1,1,Forest, , , , , , , , ,,
116,Dobra Szczecinska,Consumer Goods,0,5,4,5,Urban, , , , , , , , ,,
117,Police,Chemicals,0,6,1,7,Urban, , , , , , ,1, ,,
118,Miedzychod,0,0,3,2,3,Forest, , , , , , , , ,,
119,Drawsko,Mushrooms,0,1,1,1,Forest, , , , , , , , ,,
120,Zwierzyn,Dairy,0,1,1,1,Floodplains, , , , , , , , ,,
121,Wiecbork,0,0,2,1,2,Woods, , , , , , , , ,,
122,Krzecin,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
123,Stare Kurowo,Apiculture,0,1,1,1,Grasslands, , , , , , , , ,,
124,Strzelce Krajenskie,Wheat,0,2,2,3,Farmlands, , , , , , , , ,,
125,Drezdenko,Iron,0,2,2,3,Grasslands, , , , , , , , ,,
126,Wielen,Iron,0,2,1,2,Forest, , , , , , , , ,,
127,City of Wagrowiec,0,0,4,5,4,Farmlands, , , , , , , , ,,
128,Lyski,0,0,1,1,1,Woods, , , , , , , , ,,
129,Gaszowice,0,0,1,1,1,Highlands, , , , , , , , ,,
130,Jejkowice,0,0,1,1,1,Highlands, , , , , , , , ,,
131,Mszana,0,0,1,1,1,Highlands, , , , , , , , ,,
132,Tarnow Opolski,Stone,0,1,1,1,Woods, , , , , , , , ,,
133,Pszow,0,0,1,1,2,Highlands, , , , , , , , ,,
134,Kuznia Raciborska,Iron,0,1,1,2,Grasslands, , , , , , , , ,,
135,Chybie,Triticale,0,1,1,1,Highlands, , , , , , , , ,,
136,Brzeszcze,Coal,0,3,2,3,Woods, , , , , , , , ,,
137,Miedzna,Wheat,0,#N/A,#N/A,#N/A,Highlands, , , , , , , , ,,
138,Gliwice,Consumer Goods, ,4,6,2,Urban,2,1, , , , , , ,,
139,Pszczyna,Tourists,0,8,8,9,Urban, , , , , , , , ,,
140,Tychy,Beer, ,5,8,5,Urban, , , , , , , , ,,
141,Wozniki,0,0,1,1,1,Woods, , , , , , , , ,,
142,Turawa,Tourists,0,1,1,1,Forest, , , , , , , , ,,
143,Lubniany,Stone,0,1,1,1,Woods, , , , , , , , ,,
144,Kolonowskie,Poultry,0,1,1,1,Farmlands, , , , , , , , ,,
145,Lasowice Wielkie,Stone,0,1,1,1,Woods, , , , , , , , ,,
146,Kochanowice,0,0,1,1,1,Forest, , , , , , , , ,,
147,Murow,Dairy,0,1,1,1,Forest, , , , , , , , ,,
148,Krupski Mlyn,0,0,1,1,1,Forest, , , , , , , , ,,
149,Wielkowies,0,0,1,1,1,Farmlands, , , , , , , , ,,
150,Rudziniec,0,0,1,1,2,Woods, , , , , , , , ,,
151,Domaszowice,Fruits,0,1,1,1,Woods, , , , , , , , ,,
152,Goczalkowice-Zdroj,Tourists,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
153,Sosnowiec Centrum,Consumer Goods, ,4,4,4,Urban, , , , , , , , ,,
154,Myslowice,Consumer Goods, ,4,2,3,Urban, , , , , , , , ,,
155,Pabianice,Wool,0,1,1,1,Farmlands, , , , , , , , ,,
156,Zabrze,Consumer Goods,Finances,4,3,3,High Urban, , , , , , , , ,,
157,CZeladz,0,0,5,4,5,Urban, , , , , , , , ,,
158,Starcza,0,0,1,1,1,Highlands, , , , , , , , ,,
159,Miasteczko Slaskie,0,0,1,1,1,Forest, , , , , , , , ,,
160,Piekary Slaskie,Coal, ,3,1,2,Urban, , , , , , , , ,,
161,Wojkowice,0,0,1,1,1,Highlands, , , , , , , , ,,
162,Knurow,0,0,6,7,6,Urban, , , , , , , , ,,
163,Przystajn,0,0,1,1,1,Woods, , , , , , , , ,,
164,Panki,0,0,1,1,1,Woods, , , , , , , , ,,
165,City of Aleksnadrow Kujawski,Iron,0,2,2,2,Farmlands,1, , , , , , , ,,
166,Obrowo,Pigs,0,3,1,3,Woods, , , , , , , , ,,
167,Konarzyny,Barley,0,1,1,1,Grasslands, , , , , , , , ,,
168,Chojnice,Tourists,0,3,2,3,Woods, , , , , , , , ,,
169,Debrzno,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
170,Zakrzewo,0,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
171,Lipka,0,0,1,1,1,Woods, , , , , , , , ,,
172,Czluchow,Lumber,0,2,1,2,Woods, , , , , , , , ,,
173,Damaslawek,0,0,1,1,1,Farmlands, , , , , , , , ,,
174,Kesowo,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
175,Studzienice,Lumber,0,1,1,1,Forest, , , , , , , , ,,
176,Szubin,0,0,4,3,4,Woods, , , , , , , , ,,
177,Sosno,0,0,1,1,1,Farmlands, , , , , , , , ,,
178,Mrocza,0,0,1,1,1,Farmlands, , , , , , , , ,,
179,Liniewo,Wheat,0,1,1,1,Grasslands, , , , , , , , ,,
180,Karsin,Lumber,0,1,1,1,Forest, , , , , , , , ,,
181,Sliwice,Mushrooms,0,1,1,1,Forest, , , , , , , , ,,
182,Cekcyn,0,0,1,1,1,Forest, , , , , , , , ,,
183,City of Starograd Gdanski,Chemicals,0,7,9,8,Urban,1, , , , , , , ,,
184,Kaliska,Fur,0,1,1,1,Forest, , , , , , , , ,,
185,Tuchola,Confectionery,0,3,3,3,Forest, , , , , , , , ,,
186,Lubiewo,Mushrooms,0,1,1,1,Marsh, , , , , , , , ,,
187,Biale Blota,0,0,4,5,4,Marsh, , , , , , , , ,,
188,Znin,Sugar,0,3,3,4,Farmlands, , , , , , , , ,,
189,Labiszyn,0,0,1,1,1,Woods, , , , , , , , ,,
190,Nowa Karczma,Pigs,0,1,1,1,Grasslands, , , , , , , , ,,
191,Gostycyn,Confectionery,0,1,1,1,Woods, , , , , , , , ,,
192,Miescisko,0,0,1,1,1,Farmlands, , , , , , , , ,,
193,Janowiec Wielkopolski,0,0,1,1,1,Farmlands, , , , , , , , ,,
194,Suleczyno,Lumber,0,1,1,1,Woods, , , , , , , , ,,
195,Chmielno,Fish,0,1,1,1,Floodplains, , , , , , , , ,,
196,Czersk,Mushrooms,0,3,2,4,Forest, , , , , , , , ,,
197,Choszczno,Cattle,0,3,2,3,Farmlands, , , , , , , , ,,
198,Zukowo,Paper,0,8,7,9,Urban, , , , , , , , ,,
199,Przywidz,Tourists,0,1,1,1,Forest, , , , , , , , ,,
200,Skoki,0,0,1,1,1,Woods, , , , , , , , ,,
201,Zlotniki Kujawskie,0,0,1,1,1,Farmlands, , , , , , , , ,,
202,Dobrcz,0,0,2,1,2,Farmlands, , , , , , , , ,,
203,Lubichowo,Lumber,0,1,1,1,Forest, , , , , , , , ,,
204,Pruszcz,0,0,1,1,1,Farmlands, , , , , , , , ,,
205,Inowroclaw,0,0,2,1,2,Farmlands, ,1, , , , , , ,,
206,Krasne,0,0,1,1,2,Grasslands, , , , , , , , ,,
207,Maszewo,Iron,0,#N/A,#N/A,#N/A,Forest, , , , , , , , ,,
208,Nowogard,Stone,0,3,3,4,Grasslands, , , , , , , , ,,
209,Brzezno,Wheat,0,1,1,1,Grasslands, , , , , , , , ,,
210,City of Zlotow,0,0,2,10,3,Grasslands, , , , , , , , ,,
211,City of Chodzez,Ceramics,0,2,2,3,Grasslands,1, , , , , , , ,,
212,Wyrzysk,0,0,2,1,2,Farmlands, , , , , , , , ,,
213,Margonin,Lumber,0,1,1,1,Woods, , , , , , , , ,,
214,Chodziez,Fish,0,1,1,1,Grasslands, , , , , , , , ,,
215,Czaplinek,Tourists,0,1,1,2,Forest, , , , , , , , ,,
216,Gryfice,Sugar,Woodworking,3,3,4,Grasslands,1, , , , , , , ,,
217,Czarne,Lumber,0,1,1,1,Forest, , , , , , , , ,,
218,Ryman,Lumber,0,1,1,1,Woods, , , , , , , , ,,
219,Wegorzyno,0,0,1,1,1,Grasslands, , , , , , , , ,,
220,Kaczory,0,0,1,1,1,Grasslands, , , , , , , , ,,
221,Skrzydlowo,0,0,#N/A,#N/A,#N/A,Farmlands, ,1, , , , , , ,,
222,Czlopa,Tourists,0,1,1,1,Forest, , , , , , , , ,,
223,City of Walcz,Iron,0,3,3,4,Forest,1, , , , , , , ,,
224,Radowo Male,Wheat,0,1,1,1,Grasslands, , , , , , , , ,,
225,Jastrowie,0,0,1,1,2,Forest, , , , , , , , ,,
226,Miroslawiec,Wine,0,1,1,1,Forest, , , , , , , , ,,
227,Nowe Warpno,Triticale,0,1,1,1,Woods, , , , , , , , ,,
228,Miedzyzdroje,Tourists,0,2,1,1,Forest, , , , , ,1, , ,,
229,Goleniow,Lumber,0,7,9,6,Urban, , ,1, , , , , ,,
230,Osina,Triticale,0,1,1,1,Woods, , , , , , , , ,,
231,Dziwnow,Tourists,0,1,1,1,Woods, , , , , , , , ,,
232,Swierzno,Wheat,0,1,1,1,Woods, , , , , , , , ,,
233,Polczyn-Zdroj,Beer,0,2,1,2,Woods, , , , , , , , ,,
234,Grzmiaca,Lumber,0,1,1,1,Woods, , , , , , , , ,,
235,Bedzino,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
236,Bialogard,Barley,0,1,1,1,Grasslands, , , , , , , , ,,
237,City of Bialogard,Lumber,0,3,3,4,Grasslands,2, , , , , , , ,,
238,Swieszyno,Lumber,0,1,1,1,Woods, ,1, , , , , , ,,
239,Ustronie Morskie,Tourists,0,1,1,1,Woods, ,1, , , , , , ,,
240,Karlino,Chemicals,0,2,1,1,Farmlands, , , , , , , , ,,
241,Goscino,Lumber,0,1,1,1,Grasslands, , , , , , , , ,,
242,Przechlewo,Pigs,0,1,1,1,Forest, , , , , , , , ,,
243,Manowo,Lumber,0,1,1,1,Forest, , , , , , , , ,,
244,Koczala,Pigs,0,1,1,1,Forest, , , , , , , , ,,
245,Bialy Bor,Fruits,0,1,1,1,Forest, , , , , , , , ,,
246,Polanow,Cattle,0,1,1,1,Forest, , , , , , , , ,,
247,Postomino,Tourists,0,1,1,1,Grasslands, , , , , , , , ,,
248,Przodkowo,Hemp,0,2,1,2,Grasslands, , , , , , , , ,,
249,Ustka,Tourists,0,1,3,1,Coastline, , , , , , , , ,,
250,Lina,Stone,0,1,1,1,Grasslands, , , , , , , , ,,
251,Luzino,Lumber,0,3,1,3,Forest, , , , , , , , ,,
252,Nowa Wies Leborska,Lumber,0,2,1,2,Woods, , , , , , , , ,,
253,Lebork,Iron,0,6,6,6,Urban,1, , , , , , , ,,
254,Rogozno,Poultry,0,2,2,3,Woods, , , , , , , , ,,
255,Golub-Dobrzyn,Pigs,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
256,Jablonowo Pomorskie,Dairy,0,1,1,1,Farmlands, , , , , , , , ,,
257,Srodmiescie,Consumer Goods,Finances,14,21,4,High Urban,3, , , , , , , ,,
258,Debowa Laka,Maize,0,1,1,1,Grasslands, , , , , , , , ,,
259,Ciechocin,Barley,0,1,1,1,Woods, , , , , , , , ,,
260,Chrostkowo,Stone,0,1,1,1,Farmlands, , , , , , , , ,,
261,Swiedziebnia,Confectionery,0,1,1,1,Farmlands, , , , , , , , ,,
262,Krakow,Confectionery, ,10,8,8,High Urban,3, , , , , , , ,,
263,Kowalewo Pomorskie,Vegetables,0,1,2,2,Farmlands, , , , , , , , ,,
264,Rynsk,Mushrooms,0,1,1,1,Woods, , , , , , , , ,,
265,Bielsko-Biala Centrum,0, ,2,3,2,Grasslands, , , , , , , , ,,
266,Lodygowice,0,0,2,1,2,Highlands, , , , , , , , ,,
267,Szczyrk,0,0,1,1,1,Forest, , , , , , , , ,,
268,Prostki,Pigs,0,1,1,1,Grasslands, , , , , , , , ,,
269,Rogowo,0,0,1,1,1,Woods, , , , , , , , ,,
270,Kurzetnik,Poultry,0,1,1,1,Grasslands, , , , , , , , ,,
271,Samogitia,Poultry,0,1,1,1,Grasslands, , , , , , , , ,,
272,Brudzen Duzy,0,0,1,1,1,Farmlands, , , , , , , , ,,
273,Mlynary,Lumber,0,1,1,1,Forest, , , , , , , , ,,
274,City of Idzbark Warminski,Dairy,0,2,2,2,Farmlands,1, , , , , , , ,,
275,Milejowo,Mushrooms,0,1,1,1,Forest, , , , , , , , ,,
276,Zalewo,Lumber,0,1,1,1,Marsh, , , , , ,1, , ,,
277,Zbiczno,Tourists,0,1,1,1,Forest, , , , , , , , ,,
278,Rozogi,Ceramics,0,1,1,1,Grasslands, , , , , , , , ,,
279,Mochowo,0,0,1,1,1,Grasslands, , , , , , , , ,,
280,Nowy Dwor,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
281,City of Lubawa,Cloth,0,1,3,2,Floodplains, , , , , , , , ,,
282,Rajgrod,Fish,0,1,1,1,Woods, , , , , , , , ,,
283,Grabowo,Apiculture,0,1,1,1,Farmlands, , , , , , , , ,,
284,Nadarzyn,0,0,4,4,3,Grasslands, , , , , , , , ,,
285,Michalowice,0,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
286,Blonie,0,0,4,8,4,Farmlands, , , , , , , , ,,
287,Zabia Wola,0,0,2,1,2,Grasslands, , , , , , , , ,,
288,Kampinos,0,0,1,1,1,Grasslands, , , , , , , , ,,
289,Chorzele,0,0,1,1,1,Forest, , , , , , , , ,,
290,Lyse,0,0,1,1,1,Woods, , , , , , , , ,,
291,Myszyniec,0,0,1,1,1,Grasslands, , , , , , , , ,,
292,Olsztyn Srodmiescie,Consumer Goods, ,4,5,3,Urban,2, , , , , , , ,,
293,Swiatki,Wheat,0,1,1,1,Grasslands, , , , , , , , ,,
294,Kolno,Wheat,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
295,Biskupiec,Paper,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
296,SuwaĹ‚ki Centrum,Consumer Goods, ,3,2,3,Urban,2, , , , , , , ,,
297,Jedwabno,Mushrooms,0,1,1,1,Forest, , , , , , , , ,,
298,Kadzidlo,0,0,2,1,2,Forest, , , , , , , , ,,
299,Zyrandow,0,0,7,5,7,Urban,1, , , , , , , ,,
300,Jeziorany,Pigs,0,1,1,1,Grasslands, , , , , , , , ,,
301,Ruciane-Nida,Tourists,0,1,1,1,Floodplains, , , , , ,1, , ,,
302,Radziejowice,0,0,1,1,1,Grasslands, , , , , , , , ,,
303,Wolomin,0,0,8,6,9,Urban, , , , , , , , ,,
304,Piaseczno,0,0,19,14,18,Urban, , , , , , , , ,,
305,Giby,Fish,0,1,1,1,Forest, , , , , , , , ,,
306,Wegorzowo,Tourists,0,#N/A,#N/A,#N/A,Floodplains, , , , , ,1, , ,,
307,Mikolajki,Tourists,0,1,1,1,Floodplains, , , , , , , , ,,
308,Ketrzyn,Oil,0,1,1,1,Farmlands, , , , , , , , ,,
309,Gizycko,Metalworking,0,1,1,1,Grasslands, , , , , , , , ,,
310,Idzbark Warminski,Lumber,0,1,1,1,Farmlands, , , , , , , , ,,
311,Orneta,Stone,0,1,1,2,Farmlands, , , , , , , , ,,
312,Orzysz,Metalworking,0,1,1,1,Forest, , , , , , , , ,,
313,Srokowo,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
314,Elk,Pigs,0,2,1,2,Farmlands, , , , , , , , ,,
315,Puck,Amber,0,5,3,5,Coastline, , , , , , , , ,,
316,Perzow,0,0,1,1,1,Farmlands, , , , , , , , ,,
317,Rychtal,0,0,1,1,1,Woods, , , , , , , , ,,
318,Kluczbork,Iron,0,5,5,6,Grasslands,1, , , , , , , ,,
319,Baranow,0,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
320,Radlow,Vegetables,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
321,Lubochnia,0,0,1,1,1,Forest, , , , , , , , ,,
322,Byczyna,Vegetables,0,1,1,1,Grasslands, , , , , , , , ,,
323,Kepno,0,0,4,5,4,Grasslands,1, , , , , , , ,,
324,Patnow,0,0,1,1,1,Woods, , , , , , , , ,,
325,Siemkowice,Poultry,0,1,1,1,Woods, , , , , , , , ,,
326,Dzialoszyn,Vegetables,0,1,2,2,Grasslands, , , , , , , , ,,
327,Mokrsko,0,0,1,1,1,Farmlands, , , , , , , , ,,
328,Wielun,Sugar,0,4,7,5,Urban,1, , , , , , , ,,
329,Galewice,0,0,1,1,1,Forest, , , , , , , , ,,
330,Osjakow,0,0,1,1,1,Woods, , , , , , , , ,,
331,Rychwal,0,0,1,1,1,Grasslands, , , , , , , , ,,
332,Klonowa,0,0,1,1,1,Woods, , , , , , , , ,,
333,Sadki,0,0,1,1,1,Grasslands, , , , , , , , ,,
334,Rokiciny,0,0,1,1,1,Farmlands, , , , , , , , ,,
335,Dalikow,0,0,1,1,1,Grasslands, , , , , , , , ,,
336,City of Ozorkow,Wool,0,2,2,3,Grasslands, , , , , , , , ,,
337,Ozorkow,Pigs,0,1,1,1,Grasslands, , , , , , , , ,,
338,Brojce,Wheat,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
339,Czarnocin,0,0,1,1,1,Farmlands, , , , , , , , ,,
340,Ă‚Cmielow,Ceramics,0,1,1,1,Grasslands, , , , , , , , ,,
341,Pawlow,Wheat,0,2,1,2,Farmlands, , , , , , , , ,,
342,Koluszki,Copper,0,4,3,4,Forest, , , , , , , , ,,
343,Wodzierady,Barley,0,1,1,1,Grasslands, , , , , , , , ,,
344,Zgierz,Wool,0,2,1,3,Grasslands, , , , , , , , ,,
345,Glowno,Fruits,0,1,1,1,Woods, , , , , , , , ,,
346,Jelcz-Laskowice,Iron,0,4,8,4,Grasslands, , , , , , , , ,,
347,Wola Krzysztoporska,Vegetables,0,2,1,2,Grasslands, , , , , , , , ,,
348,Druzbice,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
349,Ksawerow,Cloth,0,1,1,1,Grasslands, , , , , , , , ,,
350,City of Tomaszow Mazowiecki,Wool,0,9,11,10,Urban,1, , , , , , , ,,
351,Tarlow,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
352,Ostrowiec-Swietokrzyski,Metalworking,0,8,10,11,Urban,1, , , , , , , ,,
353,Bodzentyn,Ceramics,0,1,1,2,Hills, , , , , , , , ,,
354,Charsznica,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
355,Trzyciaz,Copper,0,1,1,1,Grasslands, , , , , , , , ,,
356,Skala,Dairy,0,1,1,2,Hills, , , , , , , , ,,
357,Golcza,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
358,Opatow,Paper,0,#N/A,#N/A,#N/A,Farmlands, , , , ,1, , , ,,
359,Skrzydlow,Fruits,0,1,1,1,Farmlands, , , , , , , , ,,
360,Skalbmierz,Beer,0,1,1,1,Farmlands, , , , , , , , ,,
361,Backowice,Maize,0,1,1,1,Farmlands, , , , , , , , ,,
